Service,SageMaker($),S3($),Elastic Container Service($),Total cost ($)
Service Total,2240.6935498206,366.73220916049996,106.6775232403,2714.1032822214
2021-01-01,148.1037034791,,,148.1037034791
2021-02-01,92.0628074469,,,92.0628074469
2021-03-01,242.7117030295,,,242.7117030295
2021-04-01,220.632532495,,38.5298379971,259.1623704921
2021-05-01,759.5182175598,,68.1468609054,827.6650784652
2021-06-01,554.1604874782,0.0034879431,,554.1639754213
2021-07-01,201.7991024781,0.1578517177,0.0008243378,201.9577785336
2021-08-01,8.754498139199999,11.3357601519,,20.0902582911
2021-09-01,12.4817510056,51.0673926851,,63.5491436907
2021-10-01,0.034454749099999994,117.9087433663,,117.9431981154
2021-11-01,0.4342919601,186.25897329639997,,186.69326525649998
